TRANSACID,CUSTID,CCID,TAXSTATE,CUSTFIRST,CUSTLASTNAME,PHONE,EMAIL,ADDRESS1,ADDRESS2,CUSTCITY,CUSTSTATE,CUSTZIP,CARDFLAG,REWARDTIER,ONLINEFLAG,PURCHASE_DATE,CCAMOUNT,GCAMOUNT,SHIPPINGTYPE,SHIPPINGRATE,StoreID,STORENAME,STOREADDRESS,STORECITY,STORESTATE,STOREZIP,Grade
20,20,20,MD,Quentin,Haberjam,610-561-3317,qhaberjamj@businessweek.com,03 Browning Street,213 Namekagon Crossing,Reading,MD,10020,N,Elite,Y,4/13/2020,250,165,2-day,0.06,20,MLM BestBuy,16124 Grasskamp Pass,Chicago,IL,10020,E
21,21,21,MA,Mavra,Meneur,330-703-1932,mmeneurk@samsung.com,13065 Sachtjen Alley,75 Longview Center,Canton,MA,10021,N,Elite,Y,4/22/2020,137,202,2-day,0.06,21,SVA BestBuy,366 Waxwing Crossing,Flushing,NY,10021,D
22,22,22,MI,Clywd,Carlesi,336-256-0405,ccarlesil@issuu.com,73575 Namekagon Road,496 Burning Wood Center,Greensboro,MI,10022,Y,Elite+,Y,8/13/2020,30,258,2-day,0.06,22,VAR BestBuy,69 Esker Pass,Phoenix,AZ,10022,D
23,23,23,MN,Chryste,Apdell,254-854-3045,capdellm@clickbank.net,1 Gerald Avenue,490 Coolidge Trail,Waco,MN,10023,Y,Elite,N,11/8/2020,291,742,None,0,23,INPX BestBuy,3613 Jana Crossing,East Saint Louis,IL,10023,E
24,24,24,MS,Tadeo,Szymoni,561-519-8360,tszymonin@constantcontact.com,8149 Grim Center,30 Hansons Trail,West Palm Beach,MS,10024,N,Standard,N,2/9/2020,519,509,None,0,24,BFO BestBuy,60610 Bunker Hill Drive,Saint Petersburg,FL,10024,D
25,25,25,MO,Joy,Gurnay,323-546-2528,jgurnayo@census.gov,7 Sundown Center,8514 4th Circle,Los Angeles,MO,10025,Y,Elite+,N,12/14/2019,375,776,None,0,25,GRVY BestBuy,34 Rigney Place,Arlington,VA,10025,E
26,26,26,MT,Nannie,Prigg,318-595-2223,npriggp@youtu.be,44517 Myrtle Hill,571 Corry Lane,Shreveport,MT,10026,Y,Standard,Y,4/16/2020,78,642,2-day,0.06,26,DCT BestBuy,541 Mallard Trail,Orlando,FL,10026,D
27,27,27,NE,Antons,Pigeon,410-645-2433,apigeonq@blogtalkradio.com,4205 Cherokee Lane,9 Sommers Park,Baltimore,NE,10027,N,Elite+,N,5/30/2020,582,289,None,0,27,HMNY BestBuy,793 Cordelia Junction,San Antonio,TX,10027,B
28,28,28,NV,Alane,Perigoe,520-624-7645,aperigoer@dmoz.org,323 Manley Plaza,27 Glendale Terrace,Tucson,NV,10028,Y,Standard,Y,8/25/2020,633,354,2-day,0.06,28,MSEX BestBuy,3 Gina Center,Greensboro,NC,10028,C
29,29,29,NH,Judd,Assard,865-199-1878,jassards@privacy.gov.au,9 Debs Lane,84 Ruskin Street,Knoxville,NH,10029,Y,Standard,N,7/23/2020,837,989,None,0,29,SPWH BestBuy,046 Roxbury Crossing,Newark,NJ,10029,B
30,30,30,NJ,Angela,Gross,501-573-4258,agrosst@upenn.edu,9774 Myrtle Avenue,94 Ilene Point,Little Rock,NJ,10030,Y,Standard,N,8/22/2020,41,749,None,0,30,ADMS BestBuy,909 Nevada Park,Shreveport,LA,10030,E
31,31,31,NM,Bibbye,O'Codihie,585-595-3970,bocodihieu@xinhuanet.com,876 Shelley Trail,2 Lyons Avenue,Rochester,NM,10031,N,Standard,Y,6/5/2020,617,25,2-day,0.06,31,VIVO BestBuy,27 Claremont Avenue,Boise,ID,10031,F
32,32,32,NY,Cobbie,Zuanazzi,215-504-0864,czuanazziv@dropbox.com,1590 Corry Point,80 Oak Valley Court,Philadelphia,NY,10032,N,Elite,Y,5/4/2020,112,11,2-day,0.06,32,OEC BestBuy,6 Cody Junction,Muncie,IN,10032,C
33,33,33,NC,Cathe,Lesley,504-208-1035,clesleyw@creativecommons.org,8 Anhalt Street,810 Stone Corner Place,New Orleans,NC,10033,Y,Standard,N,6/12/2020,803,758,None,0,33,OTEL BestBuy,28478 Starling Terrace,New Haven,CT,10033,B
34,34,34,ND,Marybelle,Ballay,602-931-5436,mballayx@opera.com,84392 Stone Corner Drive,032 Forest Hill,Glendale,ND,10034,N,Elite,Y,8/21/2020,305,539,2-day,0.06,34,HIG.WS BestBuy,651 Hoard Trail,Akron,OH,10034,B
35,35,35,OH,Pier,Aggs,215-532-1824,paggsy@wordpress.org,4397 Lerdahl Trail,05254 Gina Alley,Philadelphia,OH,10035,N,Standard,N,8/12/2020,373,848,None,0,35,SPB BestBuy,549 Gina Crossing,Topeka,KS,10035,C
36,36,36,OK,Abdel,Hughill,323-426-9879,ahughillz@gmpg.org,99 Farmco Road,787 Talmadge Terrace,Los Angeles,OK,10036,N,Elite,N,7/21/2020,29,623,None,0,36,BGIO BestBuy,1297 Pawling Street,Paterson,NJ,10036,A
37,37,37,OR,Mort,Tull,786-493-0998,mtull10@storify.com,414 Pepper Wood Pass,617 International Circle,Miami,OR,10037,N,Elite,N,12/16/2019,213,884,None,0,37,PEN BestBuy,39593 Fisk Parkway,Beaverton,OR,10037,B
38,38,38,PA,Marten,Swigger,646-938-6276,mswigger11@cyberchimps.com,294 Badeau Pass,29 Oak Place,New York City,PA,10038,Y,Standard,N,2/10/2020,648,818,None,0,38,INO BestBuy,562 Elgar Park,Richmond,VA,10038,B
39,39,39,RI,Constancia,Spry,203-880-5284,cspry12@rambler.ru,04228 Corben Plaza,3 Fuller Hill,Waterbury,RI,10039,Y,Elite+,Y,2/8/2020,482,208,2-day,0.06,39,CIO BestBuy,33272 Coleman Pass,Chula Vista,CA,10039,F
40,40,40,SC,Christal,Stirley,405-772-9416,cstirley13@ning.com,8375 Arapahoe Road,76645 Almo Pass,Oklahoma City,SC,10040,N,Standard,Y,5/28/2020,919,279,2-day,0.06,40,MSG BestBuy,31629 Homewood Street,Minneapolis,MN,10040,B
41,41,41,SD,Bern,Humbatch,972-517-0996,bhumbatch14@nba.com,60 Center Hill,33973 Chinook Lane,Garland,SD,10041,N,Standard,N,8/29/2020,542,173,None,0,41,EMES BestBuy,0508 Hansons Court,Las Vegas,NV,10041,F
42,42,42,TN,Almire,Wybrow,904-390-0086,awybrow15@shareasale.com,02017 Hoard Road,117 Union Lane,Jacksonville,TN,10042,N,Elite,N,9/6/2020,788,679,None,0,42,EQIX BestBuy,262 Summit Plaza,Panama City,FL,10042,A
43,43,43,TX,Ofella,Lempke,212-394-0105,olempke16@google.cn,633 Sycamore Plaza,49 Summit Lane,New York City,TX,10043,Y,Standard,Y,4/15/2020,754,701,2-day,0.06,43,LANDP BestBuy,04108 Londonderry Trail,Las Vegas,NV,10043,B
44,44,44,UT,Adah,Wedgwood,408-724-9031,awedgwood17@360.cn,1402 Crescent Oaks Park,8 Sommers Pass,San Jose,UT,10044,N,Elite+,N,8/7/2020,381,156,None,0,44,VLY BestBuy,9 Pine View Lane,Pittsburgh,PA,10044,F
45,45,45,VT,Orazio,Ivie,505-636-1881,oivie18@blinklist.com,78305 Killdeer Point,9 Gulseth Road,Santa Fe,VT,10045,Y,Elite,Y,4/27/2020,823,347,2-day,0.06,45,BIVV BestBuy,9691 Leroy Avenue,Atlanta,GA,10045,A
46,46,46,VA,Carlene,Ayars,203-641-5931,cayars19@nhs.uk,0232 East Hill,5509 Barnett Drive,Bridgeport,VA,10046,Y,Elite+,N,11/27/2019,188,134,None,0,46,KFN^ BestBuy,1 Algoma Lane,Salt Lake City,UT,10046,A
47,47,47,WA,Carolee,Halsho,314-951-2289,chalsho1a@china.com.cn,5467 Grover Lane,77922 Sullivan Street,Saint Louis,WA,10047,N,Standard,N,5/4/2020,724,152,None,0,47,NGLS^A BestBuy,66300 Algoma Terrace,Santa Monica,CA,10047,C
48,48,48,WV,Bryce,Mackison,314-844-8214,bmackison1b@jugem.jp,93 Jackson Court,17 Westerfield Court,Saint Louis,WV,10048,N,Elite+,N,6/8/2020,586,745,None,0,48,OLP BestBuy,4473 Eastlawn Trail,Dearborn,MI,10048,A
49,49,49,WI,Raye,Sowerby,234-655-7652,rsowerby1c@google.fr,4 Rusk Hill,72 Kingsford Parkway,Canton,WI,10049,N,Elite,N,5/13/2020,160,600,None,0,49,ATRI BestBuy,927 Sutteridge Road,Chicago,IL,10049,D
50,50,50,WY,Hillery,Mountain,254-595-1885,hmountain1d@chronoengine.com,17061 Straubel Drive,0 Tennyson Street,Gatesville,WY,10050,N,Standard,Y,6/13/2020,833,243,2-day,0.06,50,FMS BestBuy,43690 Ronald Regan Terrace,San Francisco,CA,10050,B
